timestamp,is_anomaly,anomaly_type,service,panel,dashboard,hierarchical_cluster
2024-01-03 04:09:38,False,normal,payment-service,Connection Pool Usage,Database Metrics,0
2024-01-03 21:02:20,False,normal,api-gateway,GC Time,JVM Metrics,1
2024-01-06 07:00:02,False,normal,order-service,JVM Heap Usage,JVM Metrics,0
2024-01-07 06:44:45,False,normal,notification-service,Error Rate,Application Performance,5
2024-01-06 05:35:29,False,normal,user-service,CPU Usage,Infrastructure Overview,1
2024-01-06 13:36:54,False,normal,order-service,Cache Hit Rate,Cache Performance,7
2024-01-02 21:25:29,False,normal,analytics-service,Response Time P95,Application Performance,2
2024-01-09 18:01:30,True,connection_pool_exhaustion,notification-service,Connection Pool Usage,Database Metrics,3
2024-01-07 08:04:42,False,normal,payment-service,Cache Hit Rate,Cache Performance,7
2024-01-07 20:03:40,False,normal,order-service,CPU Usage,Infrastructure Overview,1
2024-01-02 23:46:01,False,normal,analytics-service,GC Time,JVM Metrics,1
2024-01-05 09:58:39,False,normal,order-service,Query Duration,Database Metrics,1
2024-01-06 12:39:42,False,normal,order-service,Connection Pool Usage,Database Metrics,0
2024-01-01 21:43:46,False,normal,analytics-service,Response Time P99,Application Performance,2
2024-01-06 23:41:38,False,normal,product-service,Network Traffic,Infrastructure Overview,6
2024-01-05 06:05:16,False,normal,notification-service,Cache Hit Rate,Cache Performance,7
2024-01-04 09:30:56,False,normal,notification-service,Request Rate,Application Performance,2
2024-01-03 10:27:20,False,normal,api-gateway,Connection Pool Usage,Database Metrics,0
2024-01-07 12:18:54,False,normal,payment-service,Request Rate,Application Performance,2
2024-01-06 14:12:44,False,normal,notification-service,Response Time P95,Application Performance,2
2024-01-10 01:53:48,True,high_error_rate,notification-service,Error Rate,Application Performance,5
2024-01-05 19:30:20,False,normal,order-service,Connection Pool Usage,Database Metrics,0
2024-01-07 15:04:37,False,normal,order-service,Query Duration,Database Metrics,1
2024-01-03 11:15:46,False,normal,api-gateway,JVM Heap Usage,JVM Metrics,0
2024-01-05 22:43:49,False,normal,api-gateway,Query Duration,Database Metrics,1
2024-01-02 14:46:21,False,normal,order-service,Cache Hit Rate,Cache Performance,7
2024-01-08 05:17:56,True,cpu_spike,api-gateway,CPU Usage,Infrastructure Overview,3
2024-01-03 08:05:50,False,normal,order-service,Response Time P95,Application Performance,2
2024-01-04 20:23:20,False,normal,payment-service,JVM Heap Usage,JVM Metrics,0
2024-01-03 22:45:33,False,normal,analytics-service,Connection Pool Usage,Database Metrics,0
2024-01-02 16:41:52,False,normal,notification-service,GC Time,JVM Metrics,1
2024-01-03 00:57:10,False,normal,product-service,Memory Usage,Infrastructure Overview,6
2024-01-01 23:02:37,False,normal,api-gateway,GC Time,JVM Metrics,1
2024-01-07 23:00:35,False,normal,api-gateway,Response Time P95,Application Performance,2
2024-01-06 01:03:41,False,normal,notification-service,Query Duration,Database Metrics,1
2024-01-08 09:35:25,True,connection_pool_exhaustion,analytics-service,Connection Pool Usage,Database Metrics,3
2024-01-05 23:43:04,False,normal,user-service,GC Time,JVM Metrics,1
2024-01-02 23:57:30,False,normal,order-service,Response Time P95,Application Performance,2
2024-01-03 23:05:50,False,normal,payment-service,JVM Heap Usage,JVM Metrics,0
2024-01-01 14:42:40,False,normal,user-service,Response Time P99,Application Performance,2
2024-01-10 10:22:22,True,slow_response,order-service,Response Time P99,Application Performance,4
2024-01-01 10:02:45,False,normal,product-service,Memory Usage,Infrastructure Overview,6
2024-01-01 20:56:09,False,normal,analytics-service,Network Traffic,Infrastructure Overview,1
2024-01-08 23:22:41,True,memory_spike,analytics-service,Memory Usage,Infrastructure Overview,3
2024-01-05 21:04:10,False,normal,user-service,Memory Usage,Infrastructure Overview,0
2024-01-07 23:48:39,False,normal,api-gateway,Response Time P99,Application Performance,2
2024-01-09 09:21:51,True,gc_pressure,analytics-service,GC Time,JVM Metrics,4
2024-01-10 15:15:15,True,cache_miss_spike,product-service,Cache Hit Rate,Cache Performance,0
2024-01-05 22:01:57,False,normal,api-gateway,Connection Pool Usage,Database Metrics,0
2024-01-01 00:11:31,False,normal,product-service,Response Time P99,Application Performance,6
2024-01-05 03:46:37,False,normal,payment-service,JVM Heap Usage,JVM Metrics,0
2024-01-05 23:01:47,False,normal,payment-service,CPU Usage,Infrastructure Overview,1
2024-01-04 02:09:54,False,normal,api-gateway,Response Time P99,Application Performance,2
2024-01-01 19:10:25,False,normal,api-gateway,Request Rate,Application Performance,2
2024-01-09 15:09:12,True,connection_pool_exhaustion,analytics-service,Connection Pool Usage,Database Metrics,3
2024-01-02 07:58:15,False,normal,product-service,Request Rate,Application Performance,6
2024-01-09 09:37:01,True,cache_miss_spike,product-service,Cache Hit Rate,Cache Performance,0
2024-01-04 06:45:56,False,normal,notification-service,CPU Usage,Infrastructure Overview,1
2024-01-09 01:41:39,True,cpu_spike,order-service,CPU Usage,Infrastructure Overview,3
2024-01-06 02:35:57,False,normal,analytics-service,Cache Hit Rate,Cache Performance,7
2024-01-01 23:00:45,False,normal,product-service,Query Duration,Database Metrics,6
2024-01-07 03:03:23,False,normal,order-service,Error Rate,Application Performance,5
2024-01-01 18:18:06,False,normal,payment-service,Network Traffic,Infrastructure Overview,1
2024-01-03 06:27:49,False,normal,api-gateway,Error Rate,Application Performance,5
2024-01-05 07:33:23,False,normal,payment-service,Query Duration,Database Metrics,1
2024-01-02 00:32:35,False,normal,api-gateway,Response Time P95,Application Performance,2
2024-01-10 06:54:51,True,gc_pressure,product-service,GC Time,JVM Metrics,4
2024-01-05 22:54:47,False,normal,user-service,Connection Pool Usage,Database Metrics,0
2024-01-07 20:12:41,False,normal,product-service,Network Traffic,Infrastructure Overview,6
2024-01-03 00:11:34,False,normal,payment-service,Request Rate,Application Performance,2
2024-01-07 20:58:37,False,normal,payment-service,Memory Usage,Infrastructure Overview,0
2024-01-01 10:12:19,False,normal,payment-service,Response Time P99,Application Performance,2
2024-01-02 00:37:27,False,normal,payment-service,Response Time P99,Application Performance,2
2024-01-09 15:17:25,True,cache_miss_spike,api-gateway,Cache Hit Rate,Cache Performance,0
2024-01-02 12:41:20,False,normal,analytics-service,Cache Hit Rate,Cache Performance,7
2024-01-03 07:09:37,False,normal,payment-service,Connection Pool Usage,Database Metrics,0
2024-01-07 19:20:16,False,normal,api-gateway,Connection Pool Usage,Database Metrics,0
2024-01-06 13:12:23,False,normal,notification-service,Error Rate,Application Performance,5
2024-01-07 11:24:16,False,normal,analytics-service,JVM Heap Usage,JVM Metrics,0
2024-01-03 23:44:29,False,normal,user-service,JVM Heap Usage,JVM Metrics,0
2024-01-08 22:31:36,True,high_error_rate,payment-service,Error Rate,Application Performance,5
2024-01-04 22:07:26,False,normal,order-service,Error Rate,Application Performance,5
2024-01-07 17:01:02,False,normal,user-service,CPU Usage,Infrastructure Overview,1
2024-01-01 23:49:21,False,normal,analytics-service,Connection Pool Usage,Database Metrics,0
2024-01-08 13:53:49,True,traffic_spike,payment-service,Request Rate,Application Performance,4
2024-01-03 17:23:23,False,normal,payment-service,GC Time,JVM Metrics,1
2024-01-10 23:49:44,True,high_error_rate,api-gateway,Error Rate,Application Performance,5
2024-01-06 23:24:16,False,normal,order-service,Memory Usage,Infrastructure Overview,0
2024-01-01 06:43:39,False,normal,api-gateway,Network Traffic,Infrastructure Overview,1
2024-01-10 16:28:21,True,gc_pressure,api-gateway,GC Time,JVM Metrics,4
2024-01-01 13:57:36,False,normal,user-service,JVM Heap Usage,JVM Metrics,0
2024-01-07 11:34:01,False,normal,order-service,Query Duration,Database Metrics,1
2024-01-07 20:19:56,False,normal,api-gateway,Response Time P95,Application Performance,2
2024-01-06 03:53:49,False,normal,product-service,CPU Usage,Infrastructure Overview,6
2024-01-07 19:15:06,False,normal,user-service,Error Rate,Application Performance,5
2024-01-07 14:14:58,False,normal,product-service,JVM Heap Usage,JVM Metrics,6
2024-01-04 09:09:01,False,normal,notification-service,Error Rate,Application Performance,5
2024-01-03 11:31:56,False,normal,analytics-service,Network Traffic,Infrastructure Overview,1
2024-01-04 07:54:47,False,normal,notification-service,Response Time P95,Application Performance,2
2024-01-02 15:07:53,False,normal,analytics-service,Connection Pool Usage,Database Metrics,0
2024-01-10 04:52:52,True,slow_response,order-service,Response Time P95,Application Performance,4
2024-01-02 17:51:05,False,normal,api-gateway,Memory Usage,Infrastructure Overview,0
2024-01-08 12:17:52,True,cache_miss_spike,analytics-service,Cache Hit Rate,Cache Performance,0
2024-01-03 23:49:47,False,normal,notification-service,Error Rate,Application Performance,5
2024-01-07 09:32:28,False,normal,order-service,Query Duration,Database Metrics,1
2024-01-04 17:22:31,False,normal,analytics-service,Response Time P95,Application Performance,2
2024-01-01 11:25:28,False,normal,user-service,Memory Usage,Infrastructure Overview,0
2024-01-09 10:14:27,True,high_error_rate,notification-service,Error Rate,Application Performance,5
2024-01-10 01:03:39,True,slow_response,notification-service,Response Time P95,Application Performance,4
2024-01-06 13:55:59,False,normal,order-service,Memory Usage,Infrastructure Overview,0
2024-01-07 23:03:39,False,normal,user-service,GC Time,JVM Metrics,1
2024-01-02 01:48:27,False,normal,order-service,GC Time,JVM Metrics,1
2024-01-10 21:07:06,True,gc_pressure,order-service,GC Time,JVM Metrics,4
2024-01-02 20:07:22,False,normal,payment-service,Request Rate,Application Performance,2
2024-01-03 20:52:00,False,normal,api-gateway,Network Traffic,Infrastructure Overview,1
2024-01-02 09:45:36,False,normal,product-service,Memory Usage,Infrastructure Overview,6
2024-01-05 20:15:03,False,normal,user-service,Error Rate,Application Performance,5
2024-01-10 00:24:06,True,traffic_spike,user-service,Network Traffic,Infrastructure Overview,4
2024-01-03 10:19:44,False,normal,analytics-service,JVM Heap Usage,JVM Metrics,0
2024-01-02 11:14:52,False,normal,order-service,Network Traffic,Infrastructure Overview,1
2024-01-01 11:30:37,False,normal,order-service,Error Rate,Application Performance,5
2024-01-02 17:02:24,False,normal,user-service,Memory Usage,Infrastructure Overview,0
2024-01-01 10:35:21,False,normal,analytics-service,CPU Usage,Infrastructure Overview,1
2024-01-05 01:12:33,False,normal,order-service,Connection Pool Usage,Database Metrics,0
2024-01-02 02:32:05,False,normal,analytics-service,Network Traffic,Infrastructure Overview,1
2024-01-04 06:03:57,False,normal,payment-service,Response Time P95,Application Performance,2
2024-01-10 17:56:35,True,cpu_spike,user-service,CPU Usage,Infrastructure Overview,3
2024-01-07 01:47:46,False,normal,payment-service,Connection Pool Usage,Database Metrics,0
2024-01-07 07:56:09,False,normal,product-service,CPU Usage,Infrastructure Overview,6
2024-01-01 12:19:10,False,normal,api-gateway,Error Rate,Application Performance,5
2024-01-05 06:59:12,False,normal,api-gateway,Cache Hit Rate,Cache Performance,7
2024-01-08 15:05:37,True,traffic_spike,notification-service,Request Rate,Application Performance,4
2024-01-03 03:26:10,False,normal,api-gateway,Network Traffic,Infrastructure Overview,1
2024-01-02 03:24:57,False,normal,api-gateway,Memory Usage,Infrastructure Overview,0
2024-01-06 04:47:21,False,normal,user-service,Connection Pool Usage,Database Metrics,0
2024-01-04 22:09:56,False,normal,api-gateway,Response Time P99,Application Performance,2
2024-01-02 10:21:18,False,normal,api-gateway,Query Duration,Database Metrics,1
2024-01-02 04:06:32,False,normal,notification-service,Response Time P95,Application Performance,2
2024-01-08 17:05:43,True,memory_spike,analytics-service,Memory Usage,Infrastructure Overview,3
2024-01-05 00:47:42,False,normal,payment-service,Connection Pool Usage,Database Metrics,0
2024-01-02 20:25:38,False,normal,order-service,Response Time P95,Application Performance,2
2024-01-02 19:19:16,False,normal,product-service,Query Duration,Database Metrics,6
2024-01-10 08:54:17,True,high_error_rate,product-service,Error Rate,Application Performance,5
2024-01-09 08:58:52,True,connection_pool_exhaustion,analytics-service,Connection Pool Usage,Database Metrics,3
2024-01-01 00:23:26,False,normal,product-service,Request Rate,Application Performance,6
2024-01-04 14:52:47,False,normal,user-service,Network Traffic,Infrastructure Overview,1
2024-01-04 04:05:00,False,normal,order-service,Memory Usage,Infrastructure Overview,0
2024-01-09 14:53:38,True,slow_response,analytics-service,Response Time P95,Application Performance,4
2024-01-04 09:24:51,False,normal,user-service,Cache Hit Rate,Cache Performance,7
2024-01-07 19:12:01,False,normal,user-service,JVM Heap Usage,JVM Metrics,0
2024-01-04 20:03:23,False,normal,analytics-service,Cache Hit Rate,Cache Performance,7
2024-01-05 20:46:03,False,normal,product-service,Network Traffic,Infrastructure Overview,6
2024-01-02 01:43:20,False,normal,payment-service,JVM Heap Usage,JVM Metrics,0
2024-01-03 06:58:33,False,normal,user-service,Query Duration,Database Metrics,1
2024-01-04 15:40:28,False,normal,analytics-service,Cache Hit Rate,Cache Performance,7
2024-01-10 22:25:37,True,connection_pool_exhaustion,notification-service,Connection Pool Usage,Database Metrics,3
2024-01-04 00:38:07,False,normal,notification-service,Network Traffic,Infrastructure Overview,1
2024-01-07 18:19:16,False,normal,payment-service,Query Duration,Database Metrics,1
2024-01-03 09:55:32,False,normal,notification-service,Connection Pool Usage,Database Metrics,0
2024-01-07 09:58:21,False,normal,payment-service,CPU Usage,Infrastructure Overview,1
2024-01-07 17:19:24,False,normal,user-service,Connection Pool Usage,Database Metrics,0
2024-01-08 01:11:18,True,memory_spike,order-service,Memory Usage,Infrastructure Overview,4
2024-01-06 19:34:20,False,normal,api-gateway,Network Traffic,Infrastructure Overview,1
2024-01-01 08:09:39,False,normal,order-service,Query Duration,Database Metrics,1
2024-01-09 14:13:42,True,slow_response,user-service,Response Time P95,Application Performance,4
2024-01-01 14:19:34,False,normal,analytics-service,Response Time P95,Application Performance,2
2024-01-07 05:54:54,False,normal,payment-service,Cache Hit Rate,Cache Performance,7
2024-01-06 19:20:57,False,normal,order-service,Cache Hit Rate,Cache Performance,7
2024-01-09 02:48:05,True,connection_pool_exhaustion,notification-service,Connection Pool Usage,Database Metrics,3
2024-01-03 11:09:48,False,normal,analytics-service,Connection Pool Usage,Database Metrics,0
2024-01-07 02:55:33,False,normal,order-service,Cache Hit Rate,Cache Performance,7
2024-01-03 20:23:16,False,normal,notification-service,Response Time P99,Application Performance,2
2024-01-06 17:30:53,False,normal,payment-service,Query Duration,Database Metrics,1
2024-01-07 22:19:44,False,normal,api-gateway,Response Time P95,Application Performance,2
2024-01-01 06:43:05,False,normal,api-gateway,JVM Heap Usage,JVM Metrics,0
2024-01-07 03:10:13,False,normal,payment-service,Query Duration,Database Metrics,1
2024-01-09 14:49:56,True,memory_spike,order-service,JVM Heap Usage,JVM Metrics,3
2024-01-06 15:54:10,False,normal,api-gateway,GC Time,JVM Metrics,1
2024-01-03 13:24:31,False,normal,payment-service,Query Duration,Database Metrics,1
2024-01-06 08:50:46,False,normal,product-service,Memory Usage,Infrastructure Overview,6
2024-01-09 04:32:20,True,traffic_spike,user-service,Request Rate,Application Performance,4
2024-01-08 17:11:19,True,gc_pressure,order-service,GC Time,JVM Metrics,4
2024-01-03 08:22:41,False,normal,notification-service,Response Time P95,Application Performance,2
2024-01-02 07:31:25,False,normal,user-service,Query Duration,Database Metrics,1
2024-01-08 02:30:58,True,high_error_rate,order-service,Error Rate,Application Performance,5
2024-01-07 16:26:32,False,normal,product-service,Network Traffic,Infrastructure Overview,6
2024-01-03 22:09:41,False,normal,notification-service,Response Time P95,Application Performance,2
2024-01-08 02:14:51,True,cpu_spike,payment-service,CPU Usage,Infrastructure Overview,3
2024-01-07 19:17:28,False,normal,product-service,Response Time P99,Application Performance,6
2024-01-10 04:14:37,True,gc_pressure,order-service,GC Time,JVM Metrics,4
2024-01-06 08:53:15,False,normal,payment-service,Response Time P95,Application Performance,2
2024-01-07 13:51:57,False,normal,api-gateway,JVM Heap Usage,JVM Metrics,0
2024-01-05 09:19:10,False,normal,payment-service,JVM Heap Usage,JVM Metrics,0
2024-01-05 05:10:33,False,normal,user-service,Cache Hit Rate,Cache Performance,7
2024-01-07 01:08:33,False,normal,payment-service,Request Rate,Application Performance,2
2024-01-09 01:48:23,True,gc_pressure,api-gateway,GC Time,JVM Metrics,4
2024-01-04 19:11:13,False,normal,api-gateway,Query Duration,Database Metrics,1
2024-01-04 17:46:59,False,normal,order-service,CPU Usage,Infrastructure Overview,1
2024-01-08 08:21:35,True,gc_pressure,product-service,GC Time,JVM Metrics,4
2024-01-07 18:39:56,False,normal,analytics-service,GC Time,JVM Metrics,1
2024-01-06 20:48:11,False,normal,notification-service,Query Duration,Database Metrics,1
2024-01-06 14:43:45,False,normal,user-service,Cache Hit Rate,Cache Performance,7
2024-01-04 00:14:14,False,normal,product-service,Query Duration,Database Metrics,6
2024-01-09 14:49:19,True,high_error_rate,order-service,Error Rate,Application Performance,5
2024-01-05 02:34:49,False,normal,payment-service,Cache Hit Rate,Cache Performance,7
2024-01-05 16:30:47,False,normal,product-service,Network Traffic,Infrastructure Overview,6
2024-01-04 13:25:47,False,normal,payment-service,Network Traffic,Infrastructure Overview,1
2024-01-03 22:19:43,False,normal,order-service,Memory Usage,Infrastructure Overview,0
2024-01-02 01:28:35,False,normal,api-gateway,GC Time,JVM Metrics,1
2024-01-05 09:29:13,False,normal,product-service,Connection Pool Usage,Database Metrics,0
2024-01-06 09:25:53,False,normal,user-service,GC Time,JVM Metrics,1
2024-01-10 06:25:50,True,slow_response,api-gateway,Query Duration,Database Metrics,4
2024-01-04 09:28:08,False,normal,user-service,Query Duration,Database Metrics,1
2024-01-01 00:33:02,False,normal,api-gateway,Response Time P99,Application Performance,2
2024-01-03 10:59:30,False,normal,analytics-service,Query Duration,Database Metrics,1
2024-01-06 16:12:12,False,normal,api-gateway,Connection Pool Usage,Database Metrics,0
2024-01-07 04:03:42,False,normal,analytics-service,Cache Hit Rate,Cache Performance,7
2024-01-05 12:36:42,False,normal,order-service,Connection Pool Usage,Database Metrics,0
2024-01-01 13:01:45,False,normal,payment-service,Response Time P95,Application Performance,2
2024-01-01 02:46:01,False,normal,api-gateway,Connection Pool Usage,Database Metrics,0
2024-01-09 12:53:19,True,cache_miss_spike,product-service,Cache Hit Rate,Cache Performance,0
2024-01-06 23:49:00,False,normal,product-service,Response Time P95,Application Performance,6
2024-01-05 08:55:59,False,normal,payment-service,GC Time,JVM Metrics,1
2024-01-08 15:44:07,True,high_error_rate,payment-service,Error Rate,Application Performance,5
2024-01-04 19:32:12,False,normal,api-gateway,Connection Pool Usage,Database Metrics,0
2024-01-02 20:08:36,False,normal,payment-service,CPU Usage,Infrastructure Overview,1
2024-01-06 03:45:41,False,normal,analytics-service,Network Traffic,Infrastructure Overview,1
2024-01-04 00:46:13,False,normal,payment-service,Memory Usage,Infrastructure Overview,0
2024-01-06 05:46:45,False,normal,user-service,Connection Pool Usage,Database Metrics,0
2024-01-02 09:26:17,False,normal,api-gateway,Request Rate,Application Performance,2
2024-01-05 09:56:20,False,normal,product-service,Error Rate,Application Performance,5
2024-01-06 18:48:53,False,normal,order-service,GC Time,JVM Metrics,1
2024-01-07 02:32:42,False,normal,payment-service,Request Rate,Application Performance,2
2024-01-05 23:17:29,False,normal,user-service,Cache Hit Rate,Cache Performance,7
2024-01-08 10:49:45,True,cache_miss_spike,user-service,Cache Hit Rate,Cache Performance,0
2024-01-01 18:19:13,False,normal,user-service,Connection Pool Usage,Database Metrics,0
2024-01-01 15:20:34,False,normal,user-service,Error Rate,Application Performance,5
2024-01-01 10:19:41,False,normal,analytics-service,Error Rate,Application Performance,5
2024-01-09 11:12:43,True,traffic_spike,order-service,Request Rate,Application Performance,4
2024-01-04 23:58:51,False,normal,user-service,Request Rate,Application Performance,2
2024-01-04 21:35:46,False,normal,analytics-service,Response Time P95,Application Performance,2
2024-01-04 01:26:57,False,normal,order-service,Response Time P95,Application Performance,2
2024-01-01 14:44:40,False,normal,payment-service,Query Duration,Database Metrics,1
2024-01-09 07:13:37,True,traffic_spike,api-gateway,Network Traffic,Infrastructure Overview,4
2024-01-02 05:12:33,False,normal,order-service,Network Traffic,Infrastructure Overview,1
2024-01-09 22:49:13,True,high_error_rate,analytics-service,Error Rate,Application Performance,5
2024-01-04 23:21:37,False,normal,analytics-service,Memory Usage,Infrastructure Overview,0
2024-01-02 09:52:43,False,normal,notification-service,CPU Usage,Infrastructure Overview,1
2024-01-03 05:11:56,False,normal,notification-service,Query Duration,Database Metrics,1
2024-01-08 17:10:27,True,cpu_spike,api-gateway,CPU Usage,Infrastructure Overview,3
2024-01-09 13:46:07,True,memory_spike,api-gateway,JVM Heap Usage,JVM Metrics,3
2024-01-07 01:21:57,False,normal,analytics-service,Response Time P95,Application Performance,2
2024-01-04 08:06:05,False,normal,product-service,Request Rate,Application Performance,6
2024-01-02 18:11:46,False,normal,analytics-service,Request Rate,Application Performance,2
2024-01-05 04:11:13,False,normal,api-gateway,Error Rate,Application Performance,5
2024-01-01 01:21:53,False,normal,user-service,Memory Usage,Infrastructure Overview,0
2024-01-02 17:38:49,False,normal,api-gateway,GC Time,JVM Metrics,1
2024-01-07 08:31:52,False,normal,api-gateway,Memory Usage,Infrastructure Overview,0
2024-01-01 07:32:10,False,normal,api-gateway,Connection Pool Usage,Database Metrics,0
2024-01-05 05:16:43,False,normal,user-service,Memory Usage,Infrastructure Overview,0
2024-01-06 01:38:06,False,normal,notification-service,Error Rate,Application Performance,5
2024-01-09 19:23:44,True,gc_pressure,notification-service,GC Time,JVM Metrics,4
2024-01-01 20:04:16,False,normal,analytics-service,Connection Pool Usage,Database Metrics,0
2024-01-02 12:40:17,False,normal,order-service,CPU Usage,Infrastructure Overview,1
2024-01-05 12:47:59,False,normal,api-gateway,JVM Heap Usage,JVM Metrics,0
2024-01-02 10:39:40,False,normal,notification-service,JVM Heap Usage,JVM Metrics,0
2024-01-04 11:26:37,False,normal,order-service,Response Time P99,Application Performance,2
2024-01-03 13:41:33,False,normal,api-gateway,Network Traffic,Infrastructure Overview,1
2024-01-07 15:40:39,False,normal,payment-service,Cache Hit Rate,Cache Performance,7
2024-01-05 00:39:53,False,normal,order-service,Connection Pool Usage,Database Metrics,0
2024-01-08 07:28:42,True,high_error_rate,user-service,Error Rate,Application Performance,5
2024-01-10 23:48:23,True,connection_pool_exhaustion,user-service,Connection Pool Usage,Database Metrics,3
2024-01-10 20:08:39,True,connection_pool_exhaustion,analytics-service,Connection Pool Usage,Database Metrics,3
2024-01-05 11:54:48,False,normal,analytics-service,Query Duration,Database Metrics,1
2024-01-06 19:55:27,False,normal,product-service,Request Rate,Application Performance,6
2024-01-01 22:20:31,False,normal,order-service,Response Time P95,Application Performance,2
2024-01-01 13:05:03,False,normal,api-gateway,JVM Heap Usage,JVM Metrics,0
2024-01-01 14:59:28,False,normal,api-gateway,Cache Hit Rate,Cache Performance,7
2024-01-04 09:10:49,False,normal,analytics-service,Connection Pool Usage,Database Metrics,0
2024-01-04 13:44:19,False,normal,analytics-service,Cache Hit Rate,Cache Performance,7
2024-01-03 08:06:02,False,normal,api-gateway,Response Time P95,Application Performance,2
2024-01-02 04:30:55,False,normal,product-service,Connection Pool Usage,Database Metrics,0
2024-01-05 12:25:29,False,normal,notification-service,Network Traffic,Infrastructure Overview,1
2024-01-01 07:42:10,False,normal,product-service,Query Duration,Database Metrics,6
2024-01-05 04:28:58,False,normal,order-service,GC Time,JVM Metrics,1
2024-01-07 10:29:55,False,normal,payment-service,Query Duration,Database Metrics,1
2024-01-04 21:46:08,False,normal,payment-service,Response Time P99,Application Performance,2
2024-01-07 00:27:42,False,normal,order-service,JVM Heap Usage,JVM Metrics,0
2024-01-04 09:55:36,False,normal,payment-service,Connection Pool Usage,Database Metrics,0
2024-01-03 18:01:59,False,normal,user-service,GC Time,JVM Metrics,1
2024-01-07 08:41:25,False,normal,notification-service,Cache Hit Rate,Cache Performance,7
2024-01-02 12:56:28,False,normal,payment-service,JVM Heap Usage,JVM Metrics,0
2024-01-04 16:06:17,False,normal,api-gateway,Connection Pool Usage,Database Metrics,0
2024-01-07 13:49:09,False,normal,user-service,JVM Heap Usage,JVM Metrics,0
2024-01-01 21:57:59,False,normal,user-service,GC Time,JVM Metrics,1
2024-01-04 15:38:04,False,normal,analytics-service,JVM Heap Usage,JVM Metrics,0
2024-01-06 17:55:59,False,normal,analytics-service,Request Rate,Application Performance,2
2024-01-07 09:17:28,False,normal,product-service,Connection Pool Usage,Database Metrics,0
2024-01-02 20:50:54,False,normal,payment-service,Connection Pool Usage,Database Metrics,0
2024-01-02 15:29:21,False,normal,analytics-service,Response Time P95,Application Performance,2
2024-01-04 01:49:55,False,normal,analytics-service,Response Time P95,Application Performance,2
